n,timeMicro
8,16.384000
16,20.160001
32,24.576001
64,30.080000
128,44.927999
256,52.096002
512,43.200001
1024,47.839999
8,21.728000
16,18.015999
32,20.736000
64,25.536001
128,29.344000
256,33.087999
512,38.911998
1024,40.959999
8,12.320000
16,15.904000
32,18.144000
64,22.528000
128,24.576001
256,35.647999
512,32.736000
1024,34.944002
8,12.288000
16,15.616000
32,18.400000
64,23.040000
128,24.672000
256,28.384000
512,40.736001
1024,34.143999
8,12.288000
16,14.080000
32,17.152000
64,21.120001
128,24.192000
256,26.784001
512,30.719999
1024,32.768000
8,11.968000
16,13.312000
32,16.704001
64,20.384001
128,22.688000
256,25.952000
512,29.440001
1024,31.424001
8,33.824001
16,14.208000
32,16.384000
64,20.160001
128,23.008000
256,26.176000
512,29.056000
1024,32.607999
8,10.976000
16,14.048000
32,16.511999
64,20.479999
128,22.655999
256,39.071999
512,29.088000
1024,31.583998
8,10.240000
16,14.336000
32,16.384000
64,20.416001
128,22.944000
256,25.599999
512,29.247999
1024,32.703999
8,11.360000
16,13.856000
32,16.384000
64,19.328000
128,23.808001
256,25.408000
512,28.736001
1024,32.671999
