totalOperations,total_gpu_execution_time_us
2,2.898275
2,2.890696
2,2.899574
2,2.900338
2,2.894294
2,2.889824
2,2.883250
2,2.893819
2,2.892613
2,2.888956
4,2.912775
4,2.900201
4,2.935377
4,2.914873
4,2.925593
4,2.929691
4,2.937020
4,2.933039
4,2.916794
4,2.928005
8,4.124147
8,4.200848
8,4.103858
8,4.183975
8,4.172588
8,4.167475
8,4.122191
8,4.207005
8,4.133544
8,4.172103
16,5.920569
16,5.919020
16,5.920907
16,5.928206
16,5.925314
16,5.919882
16,5.918475
16,5.926059
16,5.925078
16,5.920642
32,10.636083
32,10.640000
32,10.633868
32,10.648279
32,10.641926
32,10.637838
32,10.634275
32,10.636309
32,10.638505
32,10.637686
64,20.058588
64,20.061275
64,20.062309
64,19.976961
64,20.063706
64,19.966627
64,20.060691
64,20.067304
64,20.063338
64,20.061980
128,31.376608
128,31.555162
128,32.474078
128,32.300294
128,31.013735
128,31.560417
128,32.662392
128,31.193201
128,30.824172
128,30.102721
256,41.741078
256,41.753451
256,41.748995
256,41.755466
256,41.751598
256,41.741559
256,41.754471
256,41.747799
256,41.751691
256,41.753725
512,82.685490
512,82.681132
512,82.684034
512,82.683691
512,82.681054
512,82.702162
512,82.686069
512,82.685387
512,82.678681
512,82.692931
1024,164.161490
1024,164.160265
1024,164.190583
1024,164.166667
1024,164.159951
1024,164.183201
1024,164.152426
1024,164.179137
1024,164.167627
1024,164.184755
