Size,FullTime,EnqueueTime,WaitTime,MsgName,distance
1,0.021841,0.008101,0.014112,1B,1
2,0.021754,0.008150,0.014319,2B,1
4,0.022392,0.008169,0.014346,4B,1
8,0.022033,0.008648,0.014374,8B,1
16,0.021895,0.008058,0.014187,16B,1
32,0.021423,0.008085,0.013840,32B,1
64,0.021567,0.008182,0.013888,64B,1
128,0.021567,0.008181,0.013865,128B,1
256,0.022238,0.008134,0.014537,256B,1
512,0.021602,0.008140,0.013539,512B,1
1024,0.021883,0.008106,0.014221,1KB,1
2048,0.022587,0.008194,0.014761,2KB,1
4096,0.022185,0.008114,0.014573,4KB,1
8192,0.023704,0.008108,0.016055,8KB,1
16384,0.024404,0.008160,0.016433,16KB,1
24576,0.024756,0.008073,0.017212,24KB,1
32768,0.026239,0.008141,0.018428,32KB,1
49152,0.027513,0.008068,0.019674,48KB,1
65536,0.031792,0.008104,0.023960,64KB,1
98304,0.033577,0.008156,0.026024,96KB,1
131072,0.037471,0.008185,0.029726,128KB,1
196608,0.044501,0.008186,0.036708,192KB,1
262144,0.053648,0.008248,0.045822,256KB,1
393216,0.068857,0.008133,0.061386,384KB,1
524288,0.089292,0.008553,0.081061,512KB,1
786432,0.126050,0.008100,0.118233,768KB,1
1048576,0.151123,0.008142,0.143180,1MB,1
1572864,0.207061,0.008154,0.199021,1.5MB,1
2097152,0.254080,0.008124,0.246626,2MB,1
3145728,0.349074,0.008106,0.340968,3MB,1
4194304,0.487363,0.008168,0.479233,4MB,1
6291456,0.703970,0.008164,0.696113,6MB,1
8388608,0.939713,0.010038,0.929675,8MB,1
12582912,1.269722,0.008102,1.262134,12MB,1
16777216,2.148330,0.008152,2.140887,16MB,1
25165824,3.374174,0.008184,3.366734,24MB,1
33554432,3.924696,0.008544,3.916198,32MB,1
50331648,5.612705,0.008155,5.604960,48MB,1
67108864,8.292313,0.008161,8.284392,64MB,1
100663296,10.219751,0.008195,10.211788,96MB,1
134217728,22.015781,0.010928,22.006109,128MB,1
201326592,19.270956,0.008114,19.262969,192MB,1
268435456,25.434876,0.008183,25.426935,256MB,1
402653184,37.944720,0.008304,37.936498,384MB,1
536870912,50.594416,0.008290,50.586126,512MB,1
805306368,74.006966,0.008343,73.998623,768MB,1
1073741824,98.547911,0.009971,98.539889,1GB,1
