Size,FullTime,EnqueueTime,WaitTime,BaseSize,PermIndex,Shift
[1,0]<stdout>:1,0.032226,0.027432,0.014920,2,1,1
[1,0]<stdout>:2,0.022763,0.019129,0.005909,4,1,1
[1,0]<stdout>:1,0.022561,0.017626,0.005715,4,1,2
[1,0]<stdout>:1,0.023738,0.018027,0.006210,4,2,2
[1,0]<stdout>:4,0.023195,0.018020,0.006297,8,1,1
[1,0]<stdout>:2,0.022608,0.017514,0.005622,8,1,2
[1,0]<stdout>:1,0.022373,0.017693,0.005367,8,1,3
[1,0]<stdout>:2,0.023507,0.017453,0.006251,8,2,2
[1,0]<stdout>:1,0.023288,0.017834,0.005886,8,2,3
[1,0]<stdout>:1,0.025171,0.017716,0.007797,8,3,3
[1,0]<stdout>:8,0.022219,0.017836,0.005008,16,1,1
[1,0]<stdout>:4,0.024532,0.017934,0.006714,16,1,2
[1,0]<stdout>:2,0.022341,0.017523,0.005402,16,1,3
[1,0]<stdout>:4,0.022966,0.017682,0.005808,16,2,2
[1,0]<stdout>:2,0.023320,0.018034,0.006533,16,2,3
[1,0]<stdout>:2,0.024782,0.017870,0.007535,16,3,3
[1,0]<stdout>:16,0.022670,0.018698,0.005753,32,1,1
[1,0]<stdout>:8,0.022729,0.017627,0.005189,32,1,2
[1,0]<stdout>:4,0.023019,0.017902,0.005939,32,1,3
[1,0]<stdout>:8,0.023095,0.017802,0.005785,32,2,2
[1,0]<stdout>:4,0.023198,0.017419,0.006091,32,2,3
[1,0]<stdout>:4,0.027627,0.021319,0.007877,32,3,3
[1,0]<stdout>:32,0.023114,0.019084,0.005278,64,1,1
[1,0]<stdout>:16,0.022422,0.017912,0.005097,64,1,2
[1,0]<stdout>:8,0.022484,0.017586,0.005317,64,1,3
[1,0]<stdout>:16,0.023157,0.017633,0.005731,64,2,2
[1,0]<stdout>:8,0.036971,0.018363,0.019411,64,2,3
[1,0]<stdout>:8,0.024921,0.017743,0.008142,64,3,3
[1,0]<stdout>:64,0.022491,0.017721,0.005388,128,1,1
[1,0]<stdout>:32,0.022488,0.017902,0.005032,128,1,2
[1,0]<stdout>:16,0.022939,0.018062,0.005559,128,1,3
[1,0]<stdout>:32,0.024697,0.017559,0.007156,128,2,2
[1,0]<stdout>:16,0.023633,0.017762,0.006442,128,2,3
[1,0]<stdout>:16,0.025208,0.017837,0.007371,128,3,3
[1,0]<stdout>:128,0.023351,0.018960,0.006258,256,1,1
[1,0]<stdout>:64,0.022335,0.017957,0.005229,256,1,2
[1,0]<stdout>:32,0.022463,0.017663,0.005243,256,1,3
[1,0]<stdout>:64,0.022853,0.017811,0.005890,256,2,2
[1,0]<stdout>:32,0.023609,0.017781,0.006780,256,2,3
[1,0]<stdout>:32,0.025095,0.018365,0.007850,256,3,3
[1,0]<stdout>:256,0.022211,0.017799,0.005099,512,1,1
[1,0]<stdout>:128,0.022798,0.017762,0.005894,512,1,2
[1,0]<stdout>:64,0.022278,0.017421,0.004997,512,1,3
[1,0]<stdout>:128,0.023667,0.019126,0.005447,512,2,2
[1,0]<stdout>:64,0.022741,0.017918,0.005084,512,2,3
[1,0]<stdout>:64,0.025431,0.017793,0.008181,512,3,3
[1,0]<stdout>:512,0.022714,0.018364,0.005144,1024,1,1
[1,0]<stdout>:256,0.022389,0.018017,0.005297,1024,1,2
[1,0]<stdout>:128,0.022891,0.017528,0.006030,1024,1,3
[1,0]<stdout>:256,0.023099,0.018307,0.005964,1024,2,2
[1,0]<stdout>:128,0.023008,0.017643,0.005892,1024,2,3
[1,0]<stdout>:128,0.025624,0.017530,0.008094,1024,3,3
[1,0]<stdout>:1024,0.022790,0.017682,0.005501,2048,1,1
[1,0]<stdout>:512,0.023137,0.018302,0.005709,2048,1,2
[1,0]<stdout>:256,0.022862,0.017674,0.005541,2048,1,3
[1,0]<stdout>:512,0.023212,0.017903,0.006814,2048,2,2
[1,0]<stdout>:256,0.023405,0.017795,0.006053,2048,2,3
[1,0]<stdout>:256,0.024860,0.017840,0.007395,2048,3,3
[1,0]<stdout>:2048,0.022985,0.017965,0.006352,4096,1,1
[1,0]<stdout>:1024,0.022787,0.017646,0.005882,4096,1,2
[1,0]<stdout>:512,0.030239,0.025714,0.012001,4096,1,3
[1,0]<stdout>:1024,0.025190,0.018650,0.007214,4096,2,2
[1,0]<stdout>:512,0.024407,0.017649,0.007023,4096,2,3
[1,0]<stdout>:512,0.026574,0.018104,0.009204,4096,3,3
[1,0]<stdout>:4096,0.024716,0.017656,0.007641,8192,1,1
[1,0]<stdout>:2048,0.023966,0.017650,0.006711,8192,1,2
[1,0]<stdout>:1024,0.022648,0.017596,0.005564,8192,1,3
[1,0]<stdout>:2048,0.023708,0.017927,0.006308,8192,2,2
[1,0]<stdout>:1024,0.023176,0.017781,0.005805,8192,2,3
[1,0]<stdout>:1024,0.025422,0.017697,0.007909,8192,3,3
[1,0]<stdout>:8192,0.024972,0.018485,0.007464,16384,1,1
[1,0]<stdout>:4096,0.023129,0.017916,0.006067,16384,1,2
[1,0]<stdout>:2048,0.022963,0.017836,0.005231,16384,1,3
[1,0]<stdout>:4096,0.024260,0.017866,0.007015,16384,2,2
[1,0]<stdout>:2048,0.023561,0.019229,0.006065,16384,2,3
[1,0]<stdout>:2048,0.026072,0.017948,0.008702,16384,3,3
[1,0]<stdout>:12288,0.029283,0.018131,0.011609,24576,1,1
[1,0]<stdout>:6144,0.025466,0.018327,0.007657,24576,1,2
[1,0]<stdout>:3072,0.023269,0.019414,0.005001,24576,1,3
[1,0]<stdout>:6144,0.024429,0.017789,0.007855,24576,2,2
[1,0]<stdout>:3072,0.023905,0.017725,0.006446,24576,2,3
[1,0]<stdout>:3072,0.027498,0.018285,0.009917,24576,3,3
[1,0]<stdout>:16384,0.026023,0.017565,0.008820,32768,1,1
[1,0]<stdout>:8192,0.024256,0.017684,0.007278,32768,1,2
